antecedents,consequents,antecedent support,consequent support,support,confidence,lift,representativity,leverage,conviction,zhangs_metric,jaccard,certainty,kulczynski
"frozenset({'Serum Vitamin C', 'Moisturizer'})","frozenset({'Sunscreen', 'Face Wash'})",0.17766666666666667,0.20866666666666667,0.123,0.6923076923076923,3.317768493487343,1.0,0.08592688888888889,2.571833333333333,0.8495248389857226,0.46708860759493676,0.6111723154688614,0.6408822806586385
"frozenset({'Sunscreen', 'Face Wash'})","frozenset({'Serum Vitamin C', 'Moisturizer'})",0.20866666666666667,0.17766666666666667,0.123,0.5894568690095846,3.317768493487343,1.0,0.08592688888888889,2.003037613488975,0.8828044556772442,0.46708860759493676,0.5007582517343956,0.6408822806586385
"frozenset({'Moisturizer', 'Sunscreen'})","frozenset({'Serum Vitamin C', 'Face Wash'})",0.123,0.30233333333333334,0.123,1.0,3.3076074972436604,1.0,0.085813,inf,0.7955150133029267,0.4068357221609702,1.0,0.7034178610804851
"frozenset({'Serum Vitamin C', 'Face Wash'})","frozenset({'Moisturizer', 'Sunscreen'})",0.30233333333333334,0.123,0.123,0.4068357221609702,3.30760749724366,1.0,0.085813,1.4785111524163568,1.0,0.4068357221609702,0.32364392492698996,0.7034178610804851
"frozenset({'Serum Vitamin C', 'Moisturizer'})",frozenset({'Face Wash'}),0.17766666666666667,0.5373333333333333,0.17766666666666667,1.0,1.8610421836228288,1.0,0.08220044444444445,inf,0.5626266720713418,0.33064516129032256,1.0,0.6653225806451613
"frozenset({'Moisturizer', 'Sunscreen'})",frozenset({'Face Wash'}),0.123,0.5373333333333333,0.123,1.0,1.8610421836228288,1.0,0.056908,inf,0.5275560623337134,0.22890818858560794,1.0,0.614454094292804
"frozenset({'Serum Vitamin C', 'Moisturizer', 'Sunscreen'})",frozenset({'Face Wash'}),0.123,0.5373333333333333,0.123,1.0,1.8610421836228288,1.0,0.056908,inf,0.5275560623337134,0.22890818858560794,1.0,0.614454094292804
frozenset({'Face Wash'}),"frozenset({'Moisturizer', 'Sunscreen'})",0.5373333333333333,0.123,0.123,0.22890818858560794,1.8610421836228288,1.0,0.056908,1.1373483507642799,1.0,0.22890818858560794,0.1207619026061664,0.614454094292804
frozenset({'Face Wash'}),"frozenset({'Serum Vitamin C', 'Moisturizer', 'Sunscreen'})",0.5373333333333333,0.123,0.123,0.22890818858560794,1.8610421836228288,1.0,0.056908,1.1373483507642799,1.0,0.22890818858560794,0.1207619026061664,0.614454094292804
frozenset({'Face Wash'}),"frozenset({'Serum Vitamin C', 'Moisturizer'})",0.5373333333333333,0.17766666666666667,0.17766666666666667,0.33064516129032256,1.8610421836228286,1.0,0.08220044444444445,1.2285461847389558,1.0,0.33064516129032256,0.18602978673326617,0.6653225806451613
frozenset({'Moisturizer'}),"frozenset({'Sunscreen', 'Face Wash'})",0.327,0.20866666666666667,0.123,0.37614678899082565,1.8026203945247237,1.0,0.054765999999999995,1.2684607843137254,0.6615929160777491,0.2980613893376413,0.21164295154695745,0.48280182900020513
frozenset({'Moisturizer'}),"frozenset({'Serum Vitamin C', 'Sunscreen', 'Face Wash'})",0.327,0.20866666666666667,0.123,0.37614678899082565,1.8026203945247237,1.0,0.054765999999999995,1.2684607843137254,0.6615929160777491,0.2980613893376413,0.21164295154695745,0.48280182900020513
"frozenset({'Sunscreen', 'Face Wash'})",frozenset({'Moisturizer'}),0.20866666666666667,0.327,0.123,0.5894568690095846,1.8026203945247234,1.0,0.054765999999999995,1.639291828793774,0.5626605297223991,0.2980613893376413,0.38998048887011083,0.48280182900020513
"frozenset({'Serum Vitamin C', 'Sunscreen', 'Face Wash'})",frozenset({'Moisturizer'}),0.20866666666666667,0.327,0.123,0.5894568690095846,1.8026203945247234,1.0,0.054765999999999995,1.639291828793774,0.5626605297223991,0.2980613893376413,0.38998048887011083,0.48280182900020513
"frozenset({'Serum Vitamin C', 'Face Wash'})",frozenset({'Moisturizer'}),0.30233333333333334,0.327,0.17766666666666667,0.5876515986769569,1.7970996901435992,1.0,0.07880366666666666,1.632114973262032,0.6357589714307228,0.3933579335793358,0.3872980663847799,0.5654873691651858
frozenset({'Moisturizer'}),"frozenset({'Serum Vitamin C', 'Face Wash'})",0.327,0.30233333333333334,0.17766666666666667,0.5433231396534148,1.7970996901435992,1.0,0.07880366666666666,1.5277031249999997,0.6590606870750385,0.3933579335793358,0.3454225604205659,0.5654873691651858
"frozenset({'Sunscreen', 'Face Wash'})",frozenset({'Serum Vitamin C'}),0.20866666666666667,0.6263333333333333,0.20866666666666667,1.0,1.596593932943055,1.0,0.07797177777777778,inf,0.47219882055602364,0.3331559340074508,1.0,0.6665779670037254
"frozenset({'Moisturizer', 'Sunscreen'})",frozenset({'Serum Vitamin C'}),0.123,0.6263333333333333,0.123,1.0,1.596593932943055,1.0,0.045961,inf,0.42607373622196887,0.19638105375199574,1.0,0.5981905268759978
"frozenset({'Moisturizer', 'Sunscreen', 'Face Wash'})",frozenset({'Serum Vitamin C'}),0.123,0.6263333333333333,0.123,1.0,1.596593932943055,1.0,0.045961,inf,0.42607373622196887,0.19638105375199574,1.0,0.5981905268759978
frozenset({'Serum Vitamin C'}),"frozenset({'Sunscreen', 'Face Wash'})",0.6263333333333333,0.20866666666666667,0.20866666666666667,0.3331559340074508,1.596593932943055,1.0,0.07797177777777778,1.1866842245278,1.0,0.3331559340074508,0.15731583909955874,0.6665779670037254
frozenset({'Serum Vitamin C'}),"frozenset({'Moisturizer', 'Sunscreen'})",0.6263333333333333,0.123,0.123,0.19638105375199574,1.5965939329430547,1.0,0.045961,1.0913132450331127,1.0,0.19638105375199574,0.08367280929532012,0.5981905268759978
frozenset({'Serum Vitamin C'}),"frozenset({'Moisturizer', 'Sunscreen', 'Face Wash'})",0.6263333333333333,0.123,0.123,0.19638105375199574,1.5965939329430547,1.0,0.045961,1.0913132450331127,1.0,0.19638105375199574,0.08367280929532012,0.5981905268759978
frozenset({'Sunscreen'}),"frozenset({'Serum Vitamin C', 'Moisturizer'})",0.445,0.17766666666666667,0.123,0.27640449438202247,1.5557476231633536,1.0,0.04393833333333333,1.1364544513457557,0.6436436436436437,0.24616410940627081,0.12007032150225674,0.4843560933448574
frozenset({'Sunscreen'}),"frozenset({'Serum Vitamin C', 'Moisturizer', 'Face Wash'})",0.445,0.17766666666666667,0.123,0.27640449438202247,1.5557476231633536,1.0,0.04393833333333333,1.1364544513457557,0.6436436436436437,0.24616410940627081,0.12007032150225674,0.4843560933448574
"frozenset({'Serum Vitamin C', 'Moisturizer'})",frozenset({'Sunscreen'}),0.17766666666666667,0.445,0.123,0.6923076923076923,1.5557476231633534,1.0,0.04393833333333333,1.8037499999999997,0.4344007566545061,0.24616410940627081,0.4455994455994456,0.4843560933448574
"frozenset({'Serum Vitamin C', 'Moisturizer', 'Face Wash'})",frozenset({'Sunscreen'}),0.17766666666666667,0.445,0.123,0.6923076923076923,1.5557476231633534,1.0,0.04393833333333333,1.8037499999999997,0.4344007566545061,0.24616410940627081,0.4455994455994456,0.4843560933448574
"frozenset({'Serum Vitamin C', 'Face Wash'})",frozenset({'Sunscreen'}),0.30233333333333334,0.445,0.20866666666666667,0.6901874310915105,1.5509829912168775,1.0,0.07412833333333332,1.791405693950178,0.5091938898717617,0.38737623762376233,0.44177915511983873,0.5795506443847065
frozenset({'Sunscreen'}),"frozenset({'Serum Vitamin C', 'Face Wash'})",0.445,0.30233333333333334,0.20866666666666667,0.4689138576779026,1.5509829912168773,1.0,0.07412833333333332,1.313660084626234,0.6400857726736321,0.38737623762376233,0.23876807120578492,0.5795506443847065
"frozenset({'Serum Vitamin C', 'Sunscreen'})","frozenset({'Moisturizer', 'Face Wash'})",0.41133333333333333,0.29533333333333334,0.123,0.29902755267423015,1.0125086433664678,1.0,0.0015195555555555518,1.005270134874759,0.020986597181940056,0.2107367218732153,0.0052425061602130694,0.35775305398948526
"frozenset({'Moisturizer', 'Face Wash'})","frozenset({'Serum Vitamin C', 'Sunscreen'})",0.29533333333333334,0.41133333333333333,0.123,0.41647855530474037,1.0125086433664676,1.0,0.0015195555555555518,1.008817537072856,0.017531849869113596,0.2107367218732153,0.008740467675096902,0.35775305398948526
"frozenset({'Moisturizer', 'Face Wash'})",frozenset({'Serum Vitamin C'}),0.29533333333333334,0.6263333333333333,0.17766666666666667,0.6015801354401806,0.9604791944228537,1.0,-0.007310444444444425,0.9378715769593958,-0.055170574799003,0.23879928315412186,-0.0662440621583033,0.44262082876319836
