support,itemsets
0.5373333333333333,frozenset({'Face Wash'})
0.327,frozenset({'Moisturizer'})
0.6263333333333333,frozenset({'Serum Vitamin C'})
0.445,frozenset({'Sunscreen'})
0.22733333333333333,frozenset({'Toner'})
0.29533333333333334,"frozenset({'Moisturizer', 'Face Wash'})"
0.30233333333333334,"frozenset({'Serum Vitamin C', 'Face Wash'})"
0.20866666666666667,"frozenset({'Sunscreen', 'Face Wash'})"
0.17766666666666667,"frozenset({'Serum Vitamin C', 'Moisturizer'})"
0.123,"frozenset({'Moisturizer', 'Sunscreen'})"
0.41133333333333333,"frozenset({'Serum Vitamin C', 'Sunscreen'})"
0.115,"frozenset({'Toner', 'Serum Vitamin C'})"
0.17766666666666667,"frozenset({'Serum Vitamin C', 'Moisturizer', 'Face Wash'})"
0.123,"frozenset({'Moisturizer', 'Sunscreen', 'Face Wash'})"
0.20866666666666667,"frozenset({'Serum Vitamin C', 'Sunscreen', 'Face Wash'})"
0.123,"frozenset({'Serum Vitamin C', 'Moisturizer', 'Sunscreen'})"
0.123,"frozenset({'Serum Vitamin C', 'Moisturizer', 'Sunscreen', 'Face Wash'})"
