Rule,support(A),support(C),support(A∪ C),Confidence,Lift (reported),Lift (calculated),Lift (alt),Consistent
Moisturizer → Face Wash,0.327,0.5373333333333333,0.29533333333333334,0.9031600407747197,1.6808189344442674,1.6808189344442674,1.6808189344442674,True
Face Wash → Moisturizer,0.5373333333333333,0.327,0.29533333333333334,0.5496277915632755,1.6808189344442674,1.6808189344442674,1.6808189344442674,True
Serum Vitamin C → Sunscreen,0.6263333333333333,0.445,0.41133333333333333,0.6567323044172433,1.475802931274704,1.4758029312747039,1.475802931274704,True
Sunscreen → Serum Vitamin C,0.445,0.6263333333333333,0.41133333333333333,0.9243445692883895,1.4758029312747039,1.4758029312747039,1.4758029312747039,True
Face Wash → Serum Vitamin C,0.5373333333333333,0.6263333333333333,0.30233333333333334,0.5626550868486353,0.8983316980020788,0.8983316980020787,0.8983316980020788,True
Serum Vitamin C → Face Wash,0.6263333333333333,0.5373333333333333,0.30233333333333334,0.4827035657264503,0.8983316980020787,0.8983316980020787,0.8983316980020787,True
Sunscreen → Face Wash,0.445,0.5373333333333333,0.20866666666666667,0.4689138576779026,0.8726684696238882,0.8726684696238882,0.8726684696238882,True
Face Wash → Sunscreen,0.5373333333333333,0.445,0.20866666666666667,0.3883374689826303,0.8726684696238882,0.8726684696238882,0.8726684696238882,True
Moisturizer → Serum Vitamin C,0.327,0.6263333333333333,0.17766666666666667,0.5433231396534148,0.8674664283982143,0.8674664283982143,0.8674664283982143,True
Serum Vitamin C → Moisturizer,0.6263333333333333,0.327,0.17766666666666667,0.2836615220862161,0.8674664283982143,0.8674664283982143,0.8674664283982143,True
Moisturizer → Sunscreen,0.327,0.445,0.123,0.37614678899082565,0.8452736831254509,0.8452736831254509,0.8452736831254509,True
Sunscreen → Moisturizer,0.445,0.327,0.123,0.27640449438202247,0.8452736831254509,0.8452736831254509,0.8452736831254509,True
Toner → Serum Vitamin C,0.22733333333333333,0.6263333333333333,0.115,0.5058651026392962,0.807661153761516,0.8076611537615161,0.807661153761516,True
Serum Vitamin C → Toner,0.6263333333333333,0.22733333333333333,0.115,0.18360830228845132,0.807661153761516,0.8076611537615161,0.807661153761516,True
